Table Names,State,Parameters,Type,April - Total ((A+B) or (C+D)),May - Total ((A+B) or (C+D)),June - Total ((A+B) or (C+D)),July - Total ((A+B) or (C+D)),August - Total ((A+B) or (C+D)),September - Total ((A+B) or (C+D)),October - Total ((A+B) or (C+D)),November - Total ((A+B) or (C+D)),December - Total ((A+B) or (C+D)),January - Total ((A+B) or (C+D)),February - Total ((A+B) or (C+D)),March - Total ((A+B) or (C+D)),Total - Total ((A+B) or (C+D)),Total - Public (A),Total - Private (B),Total - Urban (C),Total - Rural (D)
2018-2019.xlsm/hmis-report-2018-19,Punjab,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,1,1,1,0,0,0,0,0,0,1,1,1,6,6,0,1,5
2018-2019.xlsm/hmis-report-2018-19,Punjab,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,1,1
2018-2019.xlsm/hmis-report-2018-19,Punjab,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,14,25,22,26,28,11,6,8,5,6,8,70,229,229,0,24,205
2018-2019.xlsm/hmis-report-2018-19,Punjab,Vaccine - Measles,1. Balance From Previous Month,4875,0,2250,0,0,0,0,0,0,3500,0,0,10625,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Punjab,Vaccine - Measles,2. Stocks Received,0,250,0,0,0,0,0,0,0,0,0,0,250,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Punjab,Vaccine - Measles,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Punjab,Vaccine - Measles,4. Stock Distributed,4875,250,1250,0,0,0,0,0,0,500,0,0,6875,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Punjab,Vaccine - Measles,5. Total Stock,0,0,1000,0,0,0,0,0,0,3000,0,0,4000,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Punjab,Measles Rubella (MR),1. Balance From Previous Month,3124000,1067920,591960,281280,184530,135320,152390,156770,124230,129560,132180,133230,6213370,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Punjab,Measles Rubella (MR),2. Stocks Received,1380000,498000,468000,84000,31500,67400,72000,35000,70000,84000,60600,44500,2895000,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Punjab,Measles Rubella (MR),3. Unusable Stock,54600,0,0,7200,6500,7000,6000,2000,5500,2000,3500,1500,95800,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Punjab,Measles Rubella (MR),4. Stock Distributed,3381480,1166960,797430,149950,80710,212880,63180,60040,61070,82030,63550,72560,6191840,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Punjab,Measles Rubella (MR),5. Total Stock,1457920,578960,442530,215330,136820,147940,158910,133230,139060,131950,138930,111160,3792740,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,154,130,125,126,0,0,0,0,0,0,0,615,1150,535,615,615,535
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Child immunisation (9-11months) - Measles 1st dose,TOTAL,105137,121680,132857,133732,129446,117834,122342,109391,99713,98746,103766,139296,1413940,1371090,42850,215400,1198540
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,145,117,93,91,0,0,0,0,0,0,0,20,466,466,0,0,466
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Child immunisation - Measles-1st dose,TOTAL,9764,10057,9408,8852,9084,8262,6963,5978,5342,5593,5746,6625,91674,90849,825,23388,68286
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,145,117,93,92,0,0,47,0,0,0,0,0,494,494,0,47,447
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,96397,97364,96006,97969,91194,80707,94169,91621,99474,104325,110206,113342,1172774,1158565,14209,153650,1019124
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,145,117,93,102,0,0,0,0,0,0,0,0,457,457,0,0,457
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Childhood Diseases - Pneumonia,TOTAL,6312,4613,3238,4662,6556,7477,8700,6298,7116,7752,7640,6565,76929,76925,4,19254,57675
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Childhood Diseases - Asthma,TOTAL,1534,1599,1088,1561,1920,1954,1977,2129,2001,2277,2253,1954,22247,22180,67,2900,19347
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Childhood Diseases - Measles,TOTAL,486,252,112,98,55,50,46,42,40,65,76,247,1569,1569,0,525,1044
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Childhood Diseases - Diarrhoea,TOTAL,21312,25887,24281,31755,32354,25630,22126,21014,20308,20095,19441,21352,285555,285467,88,29160,256395
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,2934,2930,2915,3298,4869,4146,3718,2402,2637,2266,2381,2766,37262,37237,25,9617,27645
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,12477,12006,12035,15900,14099,15030,18391,16689,17881,12507,15646,17490,180151,180105,46,30006,150145
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,39,41,30,58,66,97,96,74,84,102,95,83,865,865,0,216,649
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,5,6,5,17,23,20,11,12,17,8,11,9,144,144,0,59,85
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,0,0,1,1,1,2,2,12,0,0,0,19,19,0,12,7
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,5,15,9,19,27,28,41,35,40,35,54,25,333,333,0,95,238
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,0,1,1,63,11,9,6,2,12,4,5,2,116,116,0,77,39
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,1,0,0,1,0,0,12,0,0,3,17,17,0,10,7
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,115,64,116,114,84,92,33,103,124,61,37,27,970,970,0,228,742
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Vaccine - Measles,1. Balance From Previous Month,182373,230143,159803,172658,143508,147658,107143,88203,67368,10433,12953,13728,1335971,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Vaccine - Measles,2. Stocks Received,140355,75925,127000,102000,83500,46500,73500,74250,45125,37700,24000,59500,889355,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Vaccine - Measles,3. Unusable Stock,15100,0,0,0,0,0,0,15000,3100,0,0,0,33200,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Vaccine - Measles,4. Stock Distributed,104185,134835,113190,127765,96740,82160,84280,80085,61255,40780,23225,32010,980510,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Vaccine - Measles,5. Total Stock,203443,171233,173613,146893,130268,111998,96363,67368,48138,7353,13728,41218,1211616,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Measles Rubella (MR),1. Balance From Previous Month,0,0,0,0,0,0,0,0,0,0,22230,12460,34690,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Measles Rubella (MR),2. Stocks Received,0,0,0,0,0,0,0,0,0,41600,51600,54300,147500,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Measles Rubella (MR),3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Measles Rubella (MR),4. Stock Distributed,0,0,0,0,0,0,0,0,0,19370,49410,35780,104560,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Rajasthan,Measles Rubella (MR),5. Total Stock,0,0,0,0,0,0,0,0,0,12230,17270,16530,46030,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,3,4,0,0,24,0,0,2,42,441,420,482,1418,1354,64,319,1099
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Child immunisation (9-11months) - Measles 1st dose,TOTAL,617,707,666,776,702,686,598,623,458,240,98,79,6250,5925,325,979,5271
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,0,0,0,0,0,0,0,0,0,17,0,8,25,25,NA,6,19
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Child immunisation - Measles-1st dose,TOTAL,2,0,3,0,0,4,2,0,0,0,0,0,11,11,NA,0,11
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,0,0,0,0,0,0,0,0,0,14,37,116,167,167,0,0,167
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,2,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,3
2018-2019.xlsm/hmis-report-2018-19,Sikkim,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,616,710,684,671,559,639,546,686,616,663,651,601,7642,7158,484,1334,6308
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Childhood Diseases - Pneumonia,TOTAL,28,32,38,17,32,8,15,5,0,0,0,42,217,217,NA,6,211
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Childhood Diseases - Asthma,TOTAL,0,0,0,0,0,1,21,5,0,1,0,1,29,29,NA,0,29
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Childhood Diseases - Measles,TOTAL,1,1,0,1,1,0,0,1,4,3,1,1,14,14,NA,6,8
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Childhood Diseases - Diarrhoea,TOTAL,480,461,505,309,322,348,273,292,208,251,314,377,4140,4140,NA,149,3991
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,46,63,178,52,24,41,30,29,17,35,32,70,617,617,NA,148,469
2018-2019.xlsm/hmis-report-2018-19,Sikkim,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,144,294,316,237,130,159,128,77,57,51,73,80,1746,1746,NA,432,1314
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,2,0,3,0,2,0,0,2,0,0,0,1,10,7,3,3,7
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,0,0,0,0,0,0,0,0,0,0,1,0,1,1,NA,1,0
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,0,0,0,0,0,1,0,0,0,0,0,1,2,2,NA,0,2
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Vaccine - Measles,1. Balance From Previous Month,10459,10300,10196,10058,9823,9938,9976,9973,9711,9580,9347,9228,118589,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Vaccine - Measles,2. Stocks Received,147,180,303,130,497,351,306,73,47,83,34,341,2492,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Vaccine - Measles,3. Unusable Stock,3,0,0,3,0,0,0,0,1,0,0,0,7,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Vaccine - Measles,4. Stock Distributed,253,317,343,441,380,366,328,312,241,253,156,145,3535,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Vaccine - Measles,5. Total Stock,10350,10163,10156,9744,9940,9923,9954,9734,9516,9410,9225,9424,117539,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Measles Rubella (MR),1. Balance From Previous Month,527,1767,1678,1211,976,929,1597,1743,1719,1585,949,1452,16133,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Measles Rubella (MR),2. Stocks Received,1251,355,175,93,1028,0,563,599,271,371,797,719,6222,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Measles Rubella (MR),3. Unusable Stock,3,3,0,53,2,0,2,0,0,1,1,0,65,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Measles Rubella (MR),4. Stock Distributed,223,372,398,449,531,120,349,904,528,396,374,441,5085,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Sikkim,Measles Rubella (MR),5. Total Stock,1552,1747,1455,802,1471,809,1809,1438,1472,1559,1363,1730,17207,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,76269,79955,79244,78792,80880,80004,80418,75906,77928,77709,75387,82394,944886,910013,34873,282862,662024
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Child immunisation (9-11months) - Measles 1st dose,TOTAL,488,449,257,234,499,312,357,510,335,224,262,170,4097,4097,0,2111,1986
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,20495,21470,21090,20994,20822,21753,21618,20619,21556,20962,20368,21611,253358,252146,1212,231047,22311
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Child immunisation - Measles-1st dose,TOTAL,449,398,466,324,463,222,288,310,420,350,416,449,4555,4458,97,1557,2998
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,51624,53779,51248,49986,50645,52248,52764,50304,50600,49517,47643,50874,611232,607834,3398,232015,379217
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,644,502,270,384,303,283,324,257,220,178,264,217,3846,3804,42,1172,2674
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,6859,7215,7397,6445,6596,7911,7641,6694,7315,7015,6363,7865,85316,75309,10007,82188,3128
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Childhood Diseases - Pneumonia,TOTAL,648,407,821,811,436,531,858,884,621,559,486,642,7704,7704,0,1504,6200
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Childhood Diseases - Asthma,TOTAL,547,296,228,278,299,349,446,512,512,276,294,260,4297,4297,0,2084,2213
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Childhood Diseases - Measles,TOTAL,5,17,28,12,16,5,34,16,27,68,78,74,380,380,0,8,372
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Childhood Diseases - Diarrhoea,TOTAL,55096,56812,58110,57687,57464,55964,58456,58832,56635,55534,54795,56927,682312,682312,0,46725,635587
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,2186,2144,2935,2602,2543,2623,2749,2265,1838,1820,1723,1845,27273,27273,0,7277,19996
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,6850,6270,7143,6956,7266,19211,9772,10309,8524,7699,7272,6558,103830,103830,0,41102,62728
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,17,14,15,5,12,17,25,30,23,30,20,13,221,221,0,4,217
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,4,2,2,4,3,3,2,4,4,3,4,2,37,37,0,0,37
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,0,5,0,1,1,1,6,10,10,5,6,1,46,46,0,1,45
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,2,10,0,1,0,0,0,0,0,1,0,0,14,14,0,1,13
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,10,1,0,0,0,0,0,0,0,0,0,11,11,0,0,11
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,18,36,12,20,15,19,22,16,17,15,15,5,210,210,0,3,207
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Vaccine - Measles,1. Balance From Previous Month,136731,13761,27056,18791,23674,26374,31074,29358,29106,29556,30488,29788,425757,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Vaccine - Measles,2. Stocks Received,13650,18070,23600,0,0,13000,8100,10500,10000,8000,10000,15000,129920,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Vaccine - Measles,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Vaccine - Measles,4. Stock Distributed,136500,12770,22550,652,0,8450,4551,10752,9550,6850,10450,9081,232156,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Vaccine - Measles,5. Total Stock,13881,19061,28106,18139,23674,30924,34623,29106,29556,30706,30038,35707,323521,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Measles Rubella (MR),1. Balance From Previous Month,212518,251176,207138,201908,203494,285001,259276,250858,238072,260198,225621,370210,2965470,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Measles Rubella (MR),2. Stocks Received,343910,253100,324482,333030,403170,221070,459330,275640,243910,207260,419680,464710,3949292,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Measles Rubella (MR),3. Unusable Stock,38642,41667,33201,29857,30923,28102,30979,24930,29981,29953,23208,26538,367981,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Measles Rubella (MR),4. Stock Distributed,278825,260153,274899,301587,291330,228133,300661,247976,243206,209944,253394,350032,3240140,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Tamil Nadu,Measles Rubella (MR),5. Total Stock,246151,207726,223520,203494,293751,249836,243596,253622,210198,227561,373430,368350,3101235,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Telangana,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,47944,50162,52402,53270,49741,51837,50537,48820,46061,49666,52674,51669,604783,604783,0,195768,409015
2018-2019.xlsm/hmis-report-2018-19,Telangana,Child immunisation (9-11months) - Measles 1st dose,TOTAL,2018,2226,1864,2238,2271,2146,2221,1762,1819,1654,1635,1484,23338,23338,0,2839,20499
2018-2019.xlsm/hmis-report-2018-19,Telangana,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,7146,7295,8105,8270,7366,7434,6907,6098,6073,6148,6043,5634,82519,82519,0,27534,54985
2018-2019.xlsm/hmis-report-2018-19,Telangana,Child immunisation - Measles-1st dose,TOTAL,758,1287,785,1009,1039,1058,1227,804,762,736,682,713,10860,10860,0,825,10035
2018-2019.xlsm/hmis-report-2018-19,Telangana,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,39292,39236,41472,42964,39421,40208,41488,42374,42198,42504,46036,46623,503816,503816,0,158348,345468
2018-2019.xlsm/hmis-report-2018-19,Telangana,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,1952,2440,2532,2687,2510,2142,2111,1799,2247,2170,1685,1893,26168,26168,0,4760,21408
2018-2019.xlsm/hmis-report-2018-19,Telangana,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,409,535,593,604,483,513,397,351,385,507,411,392,5580,5580,0,898,4682
2018-2019.xlsm/hmis-report-2018-19,Telangana,Childhood Diseases - Pneumonia,TOTAL,412,473,202,178,311,803,916,557,506,350,606,588,5902,5902,0,1404,4498
2018-2019.xlsm/hmis-report-2018-19,Telangana,Childhood Diseases - Asthma,TOTAL,618,442,264,259,388,789,1015,899,754,851,758,678,7715,7715,0,1728,5987
2018-2019.xlsm/hmis-report-2018-19,Telangana,Childhood Diseases - Measles,TOTAL,6,28,0,0,0,4,5,0,13,1,3,19,79,79,0,51,28
2018-2019.xlsm/hmis-report-2018-19,Telangana,Childhood Diseases - Diarrhoea,TOTAL,3762,3945,4047,4790,4265,4100,4107,3548,3417,3560,3735,4143,47419,47419,0,17212,30207
2018-2019.xlsm/hmis-report-2018-19,Telangana,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,920,910,841,1206,1035,790,775,727,630,708,714,797,10053,10053,0,3403,6650
2018-2019.xlsm/hmis-report-2018-19,Telangana,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,2789,2764,2482,3379,3633,3913,3470,2752,3254,2886,2672,2723,36717,36717,0,11175,25542
2018-2019.xlsm/hmis-report-2018-19,Telangana,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,5,3,3,7,4,11,7,4,9,36,24,7,120,120,0,1,119
2018-2019.xlsm/hmis-report-2018-19,Telangana,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,2,2,0,1,2,1,0,1,0,57,37,2,105,105,0,0,105
2018-2019.xlsm/hmis-report-2018-19,Telangana,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,1,4,4,0,2,0,2,0,2,0,5,1,21,21,0,0,21
2018-2019.xlsm/hmis-report-2018-19,Telangana,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,1,1,2,2,32,3,3,1,0,1,15,1,62,62,0,2,60
2018-2019.xlsm/hmis-report-2018-19,Telangana,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,5,5,0,0,2,2,2,0,0,7,38,0,61,61,0,4,57
2018-2019.xlsm/hmis-report-2018-19,Telangana,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,0,0,0,1,0,0,0,0,2,1,4,4,0,0,4
2018-2019.xlsm/hmis-report-2018-19,Telangana,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,10,5,13,15,9,13,11,21,19,17,17,22,172,172,0,3,169
